"exc","inh","means","vars"
0.14,0.065,0.11519376090898688,0.007564168481553974
0.09,0.065,0.29059737705151967,0.04885906577610886
0.19,0.065,0.24074700846891517,0.016272688918528563
0.045,0.065,NaN,NaN
0.145,0.065,0.12285227245292077,0.009674434232835951
0.095,0.065,0.19251457856164741,0.019980921875597683
0.195,0.065,0.2461069779486365,0.01666621684493291
0.05,0.065,0.7590947882778768,0.3666755747929312
0.15,0.065,0.11138985798521242,0.007775092715849451
0.1,0.065,0.1439932581344683,0.011471298172763867
0.2,0.065,0.24922774557006994,0.017813547869778453
0.055,0.065,0.6019882076965438,0.26557736508523294
0.155,0.065,0.09979854845891842,0.006052597496060284
0.105,0.065,0.10034434410228717,0.0062439768660502255
0.01,0.07,NaN,NaN
0.11,0.07,0.10736823435300553,0.007118078361324642
0.06,0.07,0.2922491219981666,0.05984803101863821
0.16,0.07,0.1973625998555368,0.025657837354868623
0.015,0.07,NaN,NaN
0.115,0.07,0.11927570582907758,0.008806602376430491
0.065,0.07,0.2666675365639147,0.04037916570336575
0.165,0.07,0.2403824762898388,0.032766318560727724
0.12,0.07,0.18614188929877876,0.017927289545426293
0.02,0.07,NaN,NaN
0.07,0.07,0.1848558317141559,0.020725111517634693
0.17,0.07,0.16656261330904362,0.014734786692822787
0.025,0.07,NaN,NaN
0.125,0.07,0.21268087286839327,0.02396123055613736
0.075,0.07,0.15815407399430711,0.015988488014317338
0.175,0.07,0.1537608529224514,0.013205517607738495
0.03,0.07,NaN,NaN
0.08,0.07,0.2282614097716736,0.02941637503335561
0.13,0.07,0.1518088032816418,0.014473226645470289
0.18,0.07,0.1854761936987203,0.015016718960418568
0.035,0.07,NaN,NaN
0.085,0.07,0.16559109359055849,0.02480904913012606
0.135,0.07,0.1146994421641357,0.007022348449781501
0.185,0.07,0.21856781092777047,0.0147949554352947
0.04,0.07,NaN,NaN
0.14,0.07,0.11307272431036462,0.007234804961577024
0.09,0.07,0.2850625075192644,0.04395964115378225
0.19,0.07,0.24080224492693741,0.01703402252096549
0.045,0.07,0.2531913844288651,0.046195987870178215
0.145,0.07,0.1273050907580115,0.009636945310026759
0.095,0.07,0.201738270275979,0.023100276497450424
0.195,0.07,0.2486008684345624,0.01688932490325924
0.05,0.07,0.7447024452087526,0.337092065719911
0.15,0.07,0.11458613651960589,0.008135634840316033
0.1,0.07,0.14012320848185073,0.011088876546298709
0.2,0.07,0.2477293537205438,0.01754237147776924
0.155,0.07,0.10681884127962119,0.006670353430787018
0.055,0.07,0.5608753391995411,0.22548543443463442
0.105,0.07,0.09279679952096176,0.004915308500867818
0.01,0.075,NaN,NaN
0.16,0.075,0.20536579792862328,0.02612274885716764
0.06,0.075,0.2776011148503,0.04967007526401007
0.11,0.075,0.10342407589734674,0.006347703077587448
0.165,0.075,0.24239984130893313,0.03444699417288563
0.115,0.075,0.11454036345448329,0.007399669999158753
0.065,0.075,0.2597091125252912,0.039914453529032425
0.015,0.075,NaN,NaN
0.12,0.075,0.1748488449935858,0.01602389618921358
0.17,0.075,0.17731038679911876,0.017239986112152546
0.07,0.075,0.19266440422688988,0.023903527520136112
0.02,0.075,NaN,NaN
0.175,0.075,0.1583430039688663,0.014059420012310258
0.125,0.075,0.19777489836042286,0.02014237115848513
0.025,0.075,NaN,NaN
0.075,0.075,0.15709768256138984,0.0137507800418601
0.18,0.075,0.1808292946721921,0.014809775346237128
0.13,0.075,0.15427673484692186,0.014037757952824446
0.03,0.075,NaN,NaN
0.08,0.075,0.21817476766048557,0.02723398949010298
0.185,0.075,0.2206845939441078,0.01568034129457751
0.135,0.075,0.12503400392660866,0.009070398208650955
