"exc","inh","means","vars"
0.171,0.05,0.4209954383576602,2.2599802105015403
0.028,0.05,NaN,NaN
0.076,0.05,10.68604620325737,129.08180376420245
0.124,0.05,3.9164769250284404,40.92382043408392
0.029,0.05,NaN,NaN
0.172,0.05,0.18709056813512448,0.5925438916514729
0.077,0.05,6.054663489651137,95.92084872128373
0.125,0.05,4.217389310707496,30.440618060685225
0.03,0.05,NaN,NaN
0.173,0.05,0.12175195435680758,0.7575397966358091
0.078,0.05,4.456645197193161,103.9925011572861
0.126,0.05,5.905379928683314,44.39182984617534
0.031,0.05,NaN,NaN
0.174,0.05,0.1254737250631417,0.7096949684476224
0.079,0.05,4.5813193268079395,90.00808916572375
0.127,0.05,5.526098378804422,33.53329270547626
0.032,0.05,NaN,NaN
0.175,0.05,0.1532650950945763,1.0084651315534279
0.08,0.05,4.397325160061367,76.72843734885446
0.128,0.05,6.670438373711215,46.70380377599352
0.033,0.05,NaN,NaN
0.176,0.05,0.0922129282577421,0.9506852926592687
0.081,0.05,4.390024047402727,80.52188735265801
0.129,0.05,6.403892205406891,49.01882431756292
0.034,0.05,NaN,NaN
0.177,0.05,0.09153712213022491,0.9358193484895228
0.082,0.05,4.478344120568604,68.96282200787061
0.13,0.05,6.257896266486519,36.72841429446396
0.035,0.05,NaN,NaN
0.178,0.05,0.11190064507918313,0.8999911969167914
0.083,0.05,4.369860177899798,55.18657552917329
0.036,0.05,NaN,NaN
0.131,0.05,4.232570350048343,21.454911067674605
0.179,0.05,0.12602408145031357,0.9556137967785605
0.037,0.05,NaN,NaN
0.084,0.05,4.624938273063395,57.55105980350428
0.132,0.05,6.3984639640740575,43.82954985722729
0.18,0.05,0.1157214276373981,0.7590699618770993
0.038,0.05,NaN,NaN
0.085,0.05,4.499977048381757,51.26556265408641
0.133,0.05,7.319165578599092,56.074478877491146
0.181,0.05,0.10808687200530954,0.6290272223003843
0.039,0.05,NaN,NaN
0.086,0.05,4.580400889847732,43.099473653246264
0.134,0.05,6.883457698798233,42.79598696269224
0.182,0.05,0.1499909761781329,1.0051493021972995
0.04,0.05,NaN,NaN
0.087,0.05,4.1560935082926616,37.0397161503937
0.135,0.05,6.9246593378481585,40.49356775246993
0.183,0.05,0.1450080965460127,1.1295109785148547
0.041,0.05,NaN,NaN
0.088,0.05,3.1116167988141976,27.95088714804458
0.136,0.05,6.632491025394129,38.86815013363407
0.184,0.05,0.1519480207355901,0.8753512427862533
0.042,0.05,NaN,NaN
0.089,0.05,5.233527780804367,52.09173279825618
0.137,0.05,7.15918682736208,46.90542550168088
0.043,0.05,NaN,NaN
0.185,0.05,0.11510553047400321,0.7489634048012475
0.09,0.05,4.537846373354734,54.5885655787868
0.138,0.05,5.6940042383988825,31.138764344724073
0.044,0.05,NaN,NaN
0.186,0.05,0.10467743706387303,0.808711375931951
0.091,0.05,4.977496947811282,94.6494967821323
0.139,0.05,5.39852619115992,29.031011096500414
0.045,0.05,NaN,NaN
0.187,0.05,0.23336423295991077,1.809842562419362
0.092,0.05,5.562872610611014,88.13524233241517
0.14,0.05,8.51725137856533,54.3822294206488
0.046,0.05,NaN,NaN
0.188,0.05,0.10272956484094248,0.5792869828931674
0.093,0.05,4.826096391879662,74.73975596377984
0.141,0.05,7.449021882340038,48.318862370177456
0.047,0.05,NaN,NaN
0.189,0.05,0.13300508003933703,0.6604707699901275
0.094,0.05,9.128757940647192,118.39325257210535
0.142,0.05,7.453103412796507,45.42603213219154
