"exc","inh","means","vars"
0.075,0.06,4.259182901292142,78.83641305327068
0.025,0.06,NaN,NaN
0.125,0.06,1.452834098673261,11.883751076120907
0.175,0.06,0.10856907345055401,0.8263719353388624
0.03,0.06,NaN,NaN
0.08,0.06,4.439219483207183,74.37425993709952
0.13,0.06,1.282940787972242,6.03706914340375
0.18,0.06,0.09896161634476643,0.8641221152115223
0.085,0.06,5.258439071580727,68.89260048036304
0.035,0.06,NaN,NaN
0.135,0.06,3.7628388684993657,27.304633705737505
0.185,0.06,0.2331553309930811,1.7992728989711444
0.04,0.06,NaN,NaN
0.09,0.06,0.38935566877494837,6.600337601239771
0.14,0.06,0.7794338427062389,5.352523754320003
0.19,0.06,0.09482996056869987,0.6214047856836559
0.045,0.06,NaN,NaN
0.095,0.06,0.8986054691011482,4.547996786396134
0.145,0.06,0.8806509193976948,6.18999175771332
0.195,0.06,0.15018242623782815,0.7344885628374557
0.05,0.06,0.1990483750395464,0.013645105009478822
0.15,0.06,0.9848421040604061,10.942437371513595
0.1,0.06,1.084470907130538,6.40519108390835
0.2,0.06,0.15732239538204493,0.6509968097435853
0.055,0.06,0.12592871661565594,0.012917502045625109
0.155,0.06,0.8914631863816689,8.795277587112281
0.105,0.06,1.1834743036463584,9.972442327659122
0.01,0.065,NaN,NaN
0.06,0.065,1.188438057967306,0.5466350039959923
0.11,0.065,0.940448963797844,10.746489064630639
0.16,0.065,1.3095167213423353,14.78050998923952
0.015,0.065,NaN,NaN
0.065,0.065,4.517017073470999,22.510970929320052
0.115,0.065,1.4424673140631055,8.806318390319758
0.165,0.065,0.10527292925015162,0.4776280105051272
0.02,0.065,NaN,NaN
0.07,0.065,3.9169300381378815,21.19836704392444
0.12,0.065,1.109806335640432,2.9360189389600704
0.17,0.065,0.12423710777059259,0.6885968512931974
0.025,0.065,NaN,NaN
0.075,0.065,4.495653178624756,87.56070197150882
0.125,0.065,1.6581122034312012,10.43008795099952
0.175,0.065,0.10278957332113682,0.7630648918410373
0.03,0.065,NaN,NaN
0.08,0.065,4.415054585537271,123.5747121735411
0.13,0.065,0.8197201211418992,11.409230746489879
0.18,0.065,0.26161961399435857,1.8439394750717548
0.035,0.065,NaN,NaN
0.085,0.065,4.319281760352291,62.67603099262919
0.135,0.065,0.7900683042879776,3.628321017129156
0.185,0.065,0.6178610819130449,0.939590188991305
0.04,0.065,NaN,NaN
0.09,0.065,4.481850531947884,106.89029416035781
0.14,0.065,0.8173891159087707,4.706607996662768
0.19,0.065,0.09547933415076203,0.7150979065674041
0.045,0.065,NaN,NaN
0.095,0.065,4.487969464297368,88.81041121119542
0.145,0.065,0.8152394794005807,4.038898605748664
0.195,0.065,0.15304915159345103,0.9192972341160789
0.05,0.065,0.02917078588404099,0.004359746588602731
0.1,0.065,0.5205257327649181,1.9840068515140852
0.15,0.065,1.338242118478772,10.131521117238565
0.2,0.065,0.29014709942924793,1.3413678705557242
0.055,0.065,0.10191295962528343,0.004410683287879889
0.105,0.065,0.8720159434217332,5.874365176099867
0.155,0.065,0.8993052816899079,9.218835910631421
0.01,0.07,NaN,NaN
0.06,0.07,0.0925849018592549,0.046596440273847205
0.11,0.07,0.9404458103567566,13.710787858167915
0.16,0.07,0.14908700800257033,1.8854453652129892
0.015,0.07,NaN,NaN
0.065,0.07,11.229305863259397,38.507252385393436
0.115,0.07,2.023105857450636,24.162873232750655
0.165,0.07,0.38022264263245914,1.150296239217386
0.02,0.07,NaN,NaN
0.07,0.07,5.149151751951243,69.14047776440958
0.12,0.07,1.1374580797096048,7.903155117902203
0.17,0.07,0.12423710777059259,0.6885968512931974
0.075,0.07,4.586211931148072,93.44154124811163
0.025,0.07,NaN,NaN
0.125,0.07,0.9556671199729971,9.507417139445252
0.175,0.07,0.12361259148619853,0.6541574148009978
0.08,0.07,4.22704600811412,78.07916402374319
0.03,0.07,NaN,NaN
0.13,0.07,1.3226553071424052,16.21133353817873
0.18,0.07,0.15388604442021456,0.831010620588949
0.035,0.07,NaN,NaN
0.085,0.07,4.4469608305201325,77.95105675606216
0.135,0.07,0.680393236812211,3.8476081123590755
0.185,0.07,0.8137372004867454,10.225499887683286
0.04,0.07,NaN,NaN
0.09,0.07,5.0564794341527,99.03074285991873
0.14,0.07,2.9168379984626904,42.81791270397559
0.19,0.07,0.08312330356290222,0.8378051013455499
0.045,0.07,NaN,NaN
0.095,0.07,5.182938681001301,80.7609723932933
0.145,0.07,1.5708014950190796,13.743182229086115
0.195,0.07,0.15748380332528747,1.0080627564501532
0.05,0.07,0.20261143540653365,0.015006997575092188
0.1,0.07,4.524018510734829,87.52933983171886
0.15,0.07,1.4347794115095491,12.69772273500594
0.2,0.07,0.2191995052776801,1.369086441049903
